Grant Name,Grant Number,County,Persons (entities),Year,Land Size (Acres),Land Size (Sq. Leagues),Coordinates,Notes
NIGUEL,501,Orange,"Juan, Concepcion Avila, Juan, Concepcion Avila, Miguel, Los Alisos",1873,316.01,3,"In T 7S, R 8W, SBM",
SAN DIEGUITO,523,San Diego,"Silva, Juan Osuna, Juliana L. Osuna",1871,,,,
LOMPOC,374,Santa Barbara,"Joaquin Carrillo, Jose Antonio Camilo",1873 to J. and J. A. Carrillo,38.000,,,
LOS GUILLICOS,66,Sonoma,"John Wilson, Juan Wilson",1866,18.833,,,
LOMAS DE LA PURIFICACION,366,Santa Barbara,"Agustin Janssens, Agustin Janssens",1871,,3,"In T 5-6N, R
   30W, SBM",
ISLAND OF SANTA ROSA,405,Santa Barbara,"Antonio, Carlos Carrillo, Manuela Carrillo de Jones el al.",1871,696.49,,,
BOLSA DE SAN CAYETANO,221,Monterey,"de Sola, Ignacio Vallejo, Dolores Pico, Ignacio Vallejo, Jose de Jesus Vallejo, Ignacio",1865,866.43,2,"In T
   12S, R2E, MDM",
PUNTA DE LA CONCEPCION,375,Santa Barbara,Anastacio Carrillo,1863 and 1880 to A. Carrillo,992.04,6,"In T 5-6N, R 34-35W,
   SBM",
CAP AY,8,,"Josefa Soto, Josefa Soto",1859,388.17,10,"In T 21-23N, R 1-3W, MDM",
CANADA DE SAN MIGUELITO,391,Ventura,"Ramon Rodriguez, Juana Tico de Rodriguez",1871,877.04,2,"In T 3N, R 23-
  24W.",
SAN LUISITO,327,San Luis Obispo,"Guadalupe
  Cantua",1860,369.56,,,
PIEDRA BLANCA,321,San Luis Obispo,"Jose de Jesus
   Pico, Jose de
   Jesus Pico",1876,805.59,,"In T 25-26S, R 6-8E, MDM",
PINOLE,126,Contra Costa,"Ygnacio Martinez, Maria Antonio Martinez de
  Richardson el al",1868,"17,760",4,"In T 1-2N, R 3-4W, MDM",
LA NACION,528,San Diego,"Juan Forster, Juan Forster",1866,631.94,6,,
LAS SALINAS,257,Monterey,"Antonio Aceves, Antonio Romero, Gabriel Espinosa, Linda E. Pogue, G. Espinosa",1867,413.81,4,"In T 14S, R 2E.",
PUNTA DE LA LAGUNA,354,,"Luis Arellanes, Emelio Miguel
  Ortega, Luis
  Arellanes",1873,648.42,6,,
SAN MATEO,149,San Mateo,"Cayetano Arenas, Howard",1856,538.80,2,,
CHUALAR,270,Monterey,"Tem. Manuel Jimeno, Casarin, Juan Malarin, Juan Malaria","1872
  to M. Malarin",889.68,2,,
SAN JOSE Y SER CHIQUITO,552,Monterey,"Marcelino Escobar, Joseph S. Emory, Nathan W. Spaulding, Mary Ann Bassett",1888,,2,,
ESTERO AMERICANO,28,Sonoma,"Tern. Manuel Jimeno, Casarin, Edward McIntosh",1858,"8,829",,"In T 5-6N, R 10W.",
LOS CERRITOS,467,Los Angeles,"Don
  Manuel Nieto, Manuel Nieto, Dona
  Manuela Nieto, Manuel Nieto",1867,054.36,,"In T 3-4S, R 12-13W, SBM",
LOS MEDANOS,111,Contra Costa,"Jose Antonio
  Mesa, Jose Miguel Mesa, J. D. Stevenson",1972,658.83,,,
EL CONEJO,408,,"Grant, Ignacio
  Rodriguez, Jose Polanco, Polanco, de Sola, Jose
  de la Guerra y Noriega, Rodriguez, Maria del Carmen Rodriguez, Jose de la Guerra y Noriega, Jose de la Guerra y
  Noriega",1873,671.56,11,"In T 1-2N, R 19-20W, SBM",
LA GOLETA,382,Santa Barbara,Daniel Hill,1865,426.10,,,
ROBLAR DE LA MISERIA,50,Sonoma,"Juan
  Nepomuseno Padillo, Daniel Wright",1858,"1,792",,"In T 4-6N,
  R 7-8W, MDM",
CANADA DE LOS NOGALES,546,Los Angeles,"Jose M. Aguilar, J. M. Aguilar",1882,199.56,,,
